RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
98153,98153,,,American Mix wooden bunk beds,640,,,
01507,101072,,,American Standard Combination Gas Furnace/Electric Air Conditioning Units,6369,,,
97012,97012,,,American Standard oil furnaces,531,,,
98079,98079,,,Amtrac bicycle frames,7016,,,
93049,93049,,,Animals puzzles,1380,,,
88006,88006,,Furnaces,Arkla high efficiency gas furnaces,5567,Poisoning,,1988-02-17
84024,84024,,,Astro Chef microwave ovens,1273,,,
94099,94099,,,Atlas Imports Gorilla Bomb multiple-tube fireworks,537,,,
98089,98089,,,Axiom Firefly bike passenger trailers,1795,,,
02061,102061,,,Baby Cool polyester girls' fleece sleeveless vests,6388,,,
93111,93111,,Playpens/Play yards,Baby Express Home and Roam portable mesh-sided playpens,5787,Collapse,,1993-10-08
88078,88078,,,Baby Fibre Craft dolls,5639,,,
88078,88078,,,Baby Rattle,5641,,,
98128,98128,,,Baby Trend Home and Roam portable cribs/playpens,393,,,
88083,88083,,,Baby's First Playball squeeze toys,1355,Choking,,1988-10-11
98164,98164,,,Banana Coat Tree childrens' furniture,1417,Poisoning,,1998-09-03
99012,99012,,,Barbie Beach Buggie Fisher-Price Power Wheels ride-on cars/trucks,701,,,
99012,99012,,,Barbie Beach Cruiser Fisher-Price Power Wheels ride-on cars/trucks,700,Fire & Fire-Related Burn,,1998-10-22
99012,99012,,,Barbie Beach Patrol Fisher-Price Power Wheels ride-on cars/trucks,688,,,
99012,99012,,,Barbie Beach Ranger Fisher-Price Power Wheels ride-on cars/trucks,703,,,
99012,99012,,,Barbie Corvette Fisher-Price Power Wheels ride-on cars/trucks,718,,,
99012,99012,,,Barbie Lamborghini Fisher-Price Power Wheels ride-on cars/trucks,717,,,
99012,99012,,,Barbie Sports Quad Fisher-Price Power Wheels ride-on cars/trucks,699,Electrocution/Electric Shock,,1998-10-22
99012,99012,,,Barbie Sun Jammer Fisher-Price Power Wheels ride-on cars/trucks,704,,,
99012,99012,,,Barbie Trail Rider Fisher-Price Power Wheels ride-on cars/trucks,716,,,
01189,101189,,,Bard Furnaces,3755,,,
76089,76089,,Antennas,base station citizen band(CB) antennas,1566,,,
01221,101221,,,Bathtime Water Wheel,1429,,,
07017,107017,,,"Beacon Cambridge, Capital, Depot, F-10, F-13, F-21, F-35 Fitter Streetlights",9009,,,
07017,107017,,,"Beacon Kings Park, Magna, Maritas, Miramar, Metropolis Streetlights",9010,,,
07017,107017,,,"Beacon Radial Wave, Tivoli, Neptune, Pierwalk, Coal Miner Streetlights",9011,,,
08253,108253,,,"Beco Baby Carrier Butterfly Sophia, Cameron, Ava, Joshua Infant Carriers",10448,,Dominican Republic,
99104,99104,,,Bell Bellistic bicycle helmets,3731,,,
99104,99104,,,Bell Rhythm bicycle helmets,3732,Fall,,1999-04-29
88078,88078,,,Beth Fibre Craft dolls,5644,,,
98153,98153,,,Betsy Cameron's Children wooden bunk beds,651,,,
02003,102003,,,Biddeford EH 2000 electric blankets,6372,,,
85062,85062,,,Big Bead Rattle baby toy,1333,,,
99012,99012,,,Big Foot Fisher-Price Power Wheels battery-powered ride-on cars/trucks,698,,,
99012,99012,,,Big Foot Fisher-Price Power Wheels battery-powered ride-on cars/trucks,711,,,
99012,99012,,,Big Jake Fisher-Price Power Wheels battery-powered ride-on cars/trucks,715,,,
88051,88051,,,Big Mouth Fish plastic wind-up water toys,5619,,,
98089,98089,,,Bike Mate Trailer bike passenger trailers,1790,,,
01216,101216,,Bicycles & Accessories,BikeE RX recumbent Bicycle,1421,Fall,,2001-08-14
86028,86028,,,Bilt-Rite Way-to-Go II Strollers shoulder harness restraining device,245,Entrapment,,1986-05-13
98167,98167,,,Black Max go-karts,1420,Entrapment,,1998-09-10
88052,88052,,,Blazon-Flexible Flyer Horse Attachment gym sets,337,Fall,,1988-07-13
88052,88052,,,Blazon-Flexible Flyer Lawn Swing gym sets,338,,,
01234,101234,,,Blue Coral Slick Rain-X Plus Washer Fluid Concentrate,3972,,,
01234,101234,,Automotive Products,Blue Coral Slick Rain-X Washer Fluid Additive,3973,,,
82024,82024,,,Brass Craft manually operated gas appliance connector valves,1261,,,
92129,92129,,,Braun Espresso Masters,535,Burn - Not Fire-Related,,1992-08-17
99177,99177,,,Brave Log Splitter engines,3736,,,
04067,104067,,Lights & Accessories,Browning Black Ice flashlights,7311,Laceration,China,2004-01-21
97012,97012,,,Bryant oil furnaces,530,Fire & Fire-Related Burn,,1996-10-29
01209,101209,,,Burger King Sassy Toddler Toys For Kids,3886,,,
