RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
07176,107176,Babies R Us,,,9422,,,
08046,108046,Babies R Us,,,9890,,,
08075,108075,Babies R Us,,,9952,,,
08135,108135,Babies R Us,,,10108,,,
08165,108165,Babies R Us,,,10193,,,
08544,108194,Babies R Us,,,10268,,,
08208,108208,Babies R Us,,,10298,,,
08215,108215,Babies R Us,,,10308,,,
08381,108381,Babies R Us,,,10902,,,
08401,108401,Babies R Us,,,10963,,,
09069,109069,Babies R Us,,,11196,,,
09084,109084,Babies R Us,,,11237,,,
09087,109087,Babies R Us,,,11242,,,
09093,109093,Babies R Us,,,11262,,,
09101,109101,Babies R Us,,,11301,,,
09117,109117,Babies R Us,,,11349,,,
09146,109146,Babies R Us,,,11430,,,
09177,109177,Babies R Us,,,11612,,,
09178,109178,Babies R Us,,,11618,,,
09187,109187,Babies R Us,,,11643,,,
09207,109207,Babies R Us,,,11698,,,
09239,109239,Babies R Us,,,11789,,,
09265,109265,Babies R Us,,,11889,,,
09300,109300,Babies R Us,,,12023,,,
09301,109301,Babies R Us,,,12027,,,
10033,110033,Babies R Us,,,12233,,,
10046,110046,Babies R Us,,,12308,,,
10097,110097,Babies R Us,,,12440,,,
10115,110115,Babies R Us,,,12510,,,
10137,110137,Babies R Us,,,12588,,,
00103,100103,Babies R Us,,BOB Sport Utility Stroller D'lux,5891,,,
04109,104109,Babies R Us,Toy Miscellaneous,Imaginarium Baby Snail Push Toys,7394,Choking,China,2004-03-30
08312,108312,Babies R Us,Cribs,"Jardine Drop Side, Windsor, Hilton, Berkley, Wicker, Haven, Convertible, Lifetime, Positano Cribs",10702,Entrapment,China,2008-06-24
01217,101217,Babies R Us,,Koala Baby Children's Cargo Pants,1423,,,
08581,108298,Babies R Us ,,,10655,,,
86005,86005,Baby,,,5871,,,
00079,100079,Baby Air,,,2191,,,
00135,100135,Baby Anbesol,,Baby Anbesol Baby's Teething Kit,6109,Choking,,2000-06-29
08351,108351,Baby Appleseed,Cribs,Baby Appleseed Davenport Cribs,10792,Fall,Vietnam,2008-08-05
09239,109239,Baby Basics,,,11790,,,
99053,99053,Baby Bjorn,,,789,,,
04214,104214,Baby Bjorn,,,7668,,,
07066,107066,Baby Bjorn,,,9129,,,
09287,109287,Baby Bjorn,,,11976,,,
07254,107254,Baby Bling Things,,Baby Bling Things Bling Swarovski Pacifiers,9617,,,
93060,93060,Baby Bop,,,6053,,,
88013,88013,Baby Buddies,Pacifiers & Accessories,Baby Buddy Clip-On pacifier holders,5572,Choking,,1988-03-03
97057,97057,Baby Buzz,Toy Infants/Cribs/Strollers,,1894,,,
02062,102062,Baby Buzz'r,Toy Miscellaneous,Baby Buzz'r Toy,4075,Choking,,2001-12-12
02051,102051,Baby Central,,,4059,,,
02166,102166,Baby Central,,,4361,,,
05111,105111,Baby Connection,,,7989,,,
08401,108401,Baby Depot,,,10965,,,
85041,85041,Baby Desire,Cribs,Baby Desire baby cribs,916,Strangulation,,1985-08-27
08005,108005,Baby Einstein,,,9809,,,
08176,108176,Baby Einstein,,,10234,,,
07176,107176,Baby Einstein,,,11674,,,
87008,87008,Baby Furniture Outlet,,Small Wonders Colonial full-size wood cribs,5677,,,
00032,100032,baby GAP,Clothing (Children),Gap children's pajamas,2160,,,
01066,101066,Baby Guess,,Baby Guess children's jeans and overalls,1086,,,
09334,109334,Baby Jogger,Strollers & Accessories,Baby Jogger City Mini Strollers,12107,Fall,China,2009-08-27
85033,85033,Baby Line Furniture,Cribs,,904,,,
81028,81028,Baby Line Furniture,,,1257,,,
00119,100119,Baby Monarch,,Baby Monarch children's robes,1966,Fire & Fire-Related Burn,,2000-06-07
00067,100067,Baby N,,Baby N infant and toddler jackets,2185,,,
00049,100049,Baby N,,Nordstrom N Kids sweatshirts,2178,Choking,,2000-01-04
09161,109161,Baby Necessities,,,11497,,,
90046,90046,Baby Needs,Pacifiers & Accessories,Grow Time pacifier holders,3431,Laceration,,1990-03-13
90081,90081,Baby Sak,Cushions,Baby Sak bean bag infant cushions,3421,Suffocation,,1990-04-19
01206,101206,Baby Sitter,,Basic Comfort infant seat pads,3892,,,
96113,96113,Baby Superstores,,,2812,,,
04214,104214,Baby Swede,Infant Carriers/Car Seats/Backpacks,Baby Björn Baby Carrier Active Infant Carriers,7667,Fall,Sweden,2004-09-14
99053,99053,Baby Swede,Infant Carriers/Car Seats/Backpacks,Baby Bjorn fabric infant carriers,3225,Fall,,1999-01-21
07066,107066,Baby Swede,Baby Feeding Items,BabySwede BABYBJÖRN Feeding Spoons,9128,Choking,Sweden,2006-12-21
99021,99021,Baby Trend,,Baby Trend Baby Express Portable cribs/play pens,6994,,,
01094,101094,Baby Trend,,Baby Trend Baby Express portable cribs/play yards,7206,,,
07138,107138,Baby Trend,Infant Carriers/Car Seats/Backpacks,Baby Trend Back Pack Carriers,9314,Fall,China,2007-03-27
95056,95056,Baby Trend,,Baby Trend Home and Roam cribs/playpens,3322,,,
01094,101094,Baby Trend,Playpens/Play yards,Baby Trend Home and Roam portable cribs/play yards,7205,,,
93111,93111,Baby Trend,,Baby Trend Home and Roam portable mesh-sided playpens,2600,,,
04136,104136,Baby Trend,Strollers & Accessories,Baby Trend Passport Strollers,7498,Fall,China,2004-05-13
00103,100103,Baby Trend,Strollers & Accessories,Baby Trend Road Runner jogging strollers,5890,Fall,,2000-05-02
03042,103042,Baby Trend,Swings (Baby/Cradle),Baby Trend Trend Swing stationary infant swings,6603,Fall,China,2002-11-21
98156,98156,Baby Trend,,Century Fold-N-Go Portable Play Yards,7000,,,
98128,98128,Baby Trend,,Evenflo Kiddie Camper portable play yards,4543,,,
93004,93004,Baby World,,Baby World Industries Walk 'N' Roll Baby Walker,6036,Collapse,,1992-10-19
82054,82054,Baby World,,King Features Syndicate squeeze toy,2111,,,
89049,89049,Baby World,,McCrory baby strollers,6020,Choking,,1989-06-06
09206,109206,babyGap,,,11692,,Indonesia,
02238,102238,Babyliss Pro,Hair Dryers,BABYLISS hairdryers,6488,Electrocution/Electric Shock,China,2002-08-29
90083,90083,Baby's Cloud,Cushions,U.S. Mom's Baby's Cloud infant cushions,2042,,,
98065,98065,Baby's Dream Furniture,,,3246,,,
03121,103121,Baby's Dream Furniture,Cribs,"Baby's Dream Furniture Always Crib, Crib 4 Life, Legendary Crib cribs",6894,Collapse,United States,2003-05-06
95098,95098,Baby's Mart,,,2766,,,
97041,97041,Baby's Playset,Rattles,Lexin Little Performer wind- up toys,2236,,,
08582,108298,Babystyle,,,10657,Collapse,,
09287,109287,BabySwede,Bouncers/Jumpers,"BabySwede BabyBjorn Babysitter Balance, BabyBjörn Babysitter Balance Air bouncer chairs",11975,Laceration,Sweden,2009-07-28
08160,108160,BabyTown,Pacifiers & Accessories,BabyTown Pacifiers,10182,Choking,China,2008-01-10
04043,104043,Bachtold Brothers,Brush Cutters,"Bachtold Whipper, DR Field & Brush Mower, B-800 Weed and Brush Cutters",96,Laceration,United States,2003-12-02
95087,95087,Back Country Clothing,,Austins fleece garments,1986,,,
07306,107306,Back to Basics,Coffeemakers/Coffeepots/Teapots/Kettles,Back to Basics IT400 Iced Tea Makers,9739,Fire & Fire-Related Burn,China,2007-09-13
03524,103084,Back to Basics Toys,,,6716,,,
05252,105252,Back Trails Jr,,,8218,,,
95118,95118,Backwoods Design,,Dover Funiture wooden bunk beds,5133,,,
07258,107258,Backwoods Solar,,,9627,,,
08183,108183,Backyard and beyond,,,10240,,,
08231,108231,Backyard and Beyond,,,10362,,,
09745,109236,Backyard Buildings,,,11773,,,
09705,109006,Backyard Buildings and More,,,11035,,,
99166,99166,Backyard Escapes,,Backyard Products backyard gym set Acrobatic Swings,5397,Laceration,,1999-09-02
08299,108299,Backyard Leisure,Swing Sets,Backyard Leisure Adventure Play Sets and Create N Adventure Wooden Play Sets Swing Sets,10658,Fall,China,2008-06-10
09705,109006,Backyard Play Systems,Swings/Gliders,"Backyard Play Systems Heartland, Yardline Outdoor Playset Gliders",11029,Fall,China,2008-10-08
09745,109236,Backyard Play Systems,Swings/Gliders,"Backyard Play Systems, Heartland Premium Play Systems, Yardline Play Systems Outdoor Playset Gliders",11772,Fall,China,2009-06-04
99166,99166,Backyard Products,,Backyard Escapes backyard gym set Acrobatic Swings,5396,,,
04145,104145,Backyard Products,Swing Sets,Backyard Products single and acrobatic swings,7516,Fall,Canada,2004-05-27
01165,101165,Backyard Products,,Hedstrom Rocket Rider swing on backyard gym set,1228,,,
06163,106163,Backyard Ventures,,"Durango, Tacoma, Odyssey, Bellvue, Monarch Swing Sets",8686,,United States,
10015,110015,Bad Boy Enterprises,"Utility, Off-Road Vehicles/Golf Carts","Bad Boy Enterprises Classic Buggies Realtree, Hardwoods, Standard Off-Road Utility Vehicles",12184,Vehicle Accident,United States,2009-10-21
86044,86044,Badger Basket,Bassinets,Badger Bassinets,5833,,,
91080,91080,Badger-Powhatan,,Beco fire extinguishers,874,,,
09066,109066,Bagi Shumanit,,,11190,,,
08518,108099,Baja Motorsports,All Terrain Vehicles (ATVs),"Baja Baja, Wilderness ATVs",10000,Vehicle Accident,,2007-11-21
05153,105153,Baja Products,Toy Balls,Baja My First Crayon-Balls and My First Crayon-Ball Activity Sets,202,Choking,China,2005-04-13
03046,103046,Baker,,Baker chipper-shredders,6628,,,
09152,109152,Baker Gas & Oil,,,11472,,,
04085,104085,Bakers & Chefs,,Bakers & Chefs Gas Barbecue Grills,7429,,,
97149,97149,Balance,,Balance bicycles with Shimano bicycle cranks,625,,,
06573,106230,Ballard Designs,Candles & Candle Holders,Toulon Potted Candles and citronella scented single candles,8867,Fire & Fire-Related Burn,China,2006-08-14
97075,97075,Ballistic,,,1902,,,
00106,100106,Ballistic,,Mongoose bicycle Ballistic front suspension forks,2196,Fall,,2000-05-09
09196,109196,Bally Total Fitness,,,11670,,,
10110,110110,Balt & Best-Rite,,,12493,,,
86070,86070,Bandai,Toy Miscellaneous,Miniature Voltron Lion robot toys,5872,,,
96103,96103,Bandwagon,Remote Controls,Bandwagon electrical appliance remote control hand-operated switches,2365,Electrocution/Electric Shock,,1996-04-16
04196,104196,Banner Furniture,,,7615,,,
97166,97166,Baquacil,Swimming Pool Items,,6146,Choking,,1997-07-31
05019,105019,Barbeque Galore,,,7731,,,
06074,106074,Barbeques Galore,,,8480,,,
06095,106095,Barbeques Galore,"Grills, Smokers & Accessories",Barbeques Galore Turbo Sport Portable Infrared LP Gas Grills,8512,Fire & Fire-Related Burn,Taiwan,2006-02-23
05023,105023,Bar-B-Que Galore,,,7743,,,
09099,109099,Bard,,Bard Plexvent and Ultravent HTPV pipe systems for boilers and furnaces,11275,,,
01189,101189,Bard,,Goodman Furnaces,3743,,,
98072,98072,Bard,Vent Pipes,Plexco high-temperature plastic vent (HTPV) pipes,5103,,,
97012,97012,Bard,,Quiet Automatic oil furnaces,2242,,,
09248,109248,Bargain Beachwear,,,11820,,,
98050,98050,Bargain City,,Cypress Ladies' fleece Robes,4455,,,
92037,92037,Bargain Time,,,2494,,,
90149,90149,Bargain Time,,,2623,,,
91086,91086,Bargain Time,,,4443,,,
91086,91086,Bargain Time,,Wind-Up Circus Wagon toys,2463,Choking,,1991-06-20
99003,99003,Bargain Wholesale,Irons (Clothing),,4560,Fire & Fire-Related Burn,,1998-10-06
94055,94055,Bargain Wholesale,,Crayons That Paint,4994,,,
00111,100111,Bargain Wholesale,Fire Extinguishers,Firestopper fire extinguishers,981,Explosion/Projectiles,,2000-05-18
93030,93030,Bargains R Us,,,2525,,,
06222,106222,Bari,,,8843,,,
09244,109244,Barista,,,11806,,,
91060,91060,Bark Buster,,,5892,,,
95039,95039,Barnes & Noble,,,2571,,,
95064,95064,Barnes & Noble,,,2586,,,
96113,96113,Barnes & Noble,,,2683,,,
07285,107285,Barnes & Noble,Teething Items,,9681,,,
08245,108245,Barnes & Noble,,,10425,,,
10105,110105,Barnes & Noble,,,12473,,,
04044,104044,Barnett of the Caribbean,Shower Items,"Sintex Super Ducha, Sintex Electronic Showerhead Hot Water Heaters",98,Electrocution/Electric Shock,Brazil,2003-12-02
93060,93060,Barney,Backpacks/Bags,,6052,,,
07022,107022,Bartell Drug,,,9022,,,
95038,95038,Baseline Design,,Base Line Design bean bag chairs,3552,Suffocation,,1994-12-01
02539,102155,Baseline Design,Bean Bag Chairs,Baseline Bean Bag Chairs,4325,,,2002-05-08
03076,103076,Baseline Design,Bean Bag Chairs,Baseline Design beanbag chairs,6685,Choking,,2003-01-28
07262,107262,Basic Blindz,,,9634,,,
01206,101206,Basic Comfort,Furniture (Children),The Baby Sitter infant seat pads,3889,,,
95102,95102,Basic Designs,,,1994,,,
97119,97119,Basic Editions,Lamps,,775,,,
04167,104167,Basic Editions,,,7567,,,
07284,107284,Basic Editions,,,9679,,,
08117,108117,Basic Editions,,,10045,,,
07103,107103,Basix USA,Clothing (Children),Basix U.S.A. Children’s Hooded Sweatshirts Windbreakers,9224,Strangulation,China,2007-02-13
04161,104161,Basler Electric,Adapter/Power Supply/Charger/Battery,Basler Electric Grafik Eye 3000 DC power supply units for Lutron controls,7553,Fire & Fire-Related Burn,Mexico,2004-06-15
06074,106074,Bass Pro,,,8481,,,
10042,110042,Bass Pro ,,,12285,,,
93075,93075,Bass Pro Shops,,,2359,,,
07294,107294,Bass Pro Shops,,,9709,,,
97107,97107,Bass Pro Shops,Hunting Accessories,Warren & Sweat Mag-Lock Plus tree stands,4672,Fall,,1997-04-22
78014,78014,Bassett,Cribs,Bassett cribs,7031,,,
84013,84013,Bassett,Cribs,Candlelite Cribs,995,Entrapment,,1984-02-00
80006,80006,Bassett,,Candlelite cribs,6141,Entrapment,,1980-02-14
80006,80006,Bassett,Cribs,Mandalay cribs,6140,,,
78032,78032,Bassett,Cribs,Mandalay cribs,7061,Entrapment,,1978-05-05
08075,108075,Bassettbaby,Cribs,Bassettbaby Wendy Bellissimo Collection Convertible Cribs,9950,Strangulation,China,2007-11-08
08544,108194,Bassettbaby,Cribs,Bassettbaby Wendy Bellissimo Hidden Hills Collection Drop-Side Cribs,10265,Strangulation,China,2008-02-14
08581,108298,Bassettbaby,Cribs,Bassettbaby Wendy Bellissimo Hidden Hills Collection Navajo Pine Cribs,10653,Entrapment,China,2008-06-05
01508,101079,Bath & Body Works,,,1312,Fire & Fire-Related Burn,,2001-02-05
96195,96195,Bath & Body Works,,,3710,,,
00004,100004,Bath & Body Works,Candles & Candle Holders,,4429,,,
10124,110124,Bath & Body Works,,,12546,,,
96148,96148,Bath & Body Works,Potpourri Items,Bath & Body Works ceramic potpourri burners,3585,Fire & Fire-Related Burn,,1996-06-19
02191,102191,Bath & Body Works,Ice Shavers,Bath and Body Works Art Stuff ice shavers,6296,Laceration,Taiwan,2002-07-01
01101,101101,Bath & Body Works,,Beauty In Bloom Botanical candles,7232,Burn - Not Fire-Related,,2001-03-08
99002,99002,Bath & Body Works,,Plug me in & enjoy the silence pacifiers,3057,Choking,,1998-10-01
04101,104101,Bath & Body Works,Candles & Candle Holders,"Real Essence Lilac Blossom, Vintage Leather, Spiced Cider Votive Candles",7373,Fire & Fire-Related Burn,United States,2004-03-18
01512,101111,Bath Magic,,Color Block Children's Bathrobes,1403,,,
99151,99151,Bathtub Baby,Toy Dolls & Accessories,,818,Choking,,1999-08-03
08173,108173,Battat,Toy Play Sets/Activity Sets,Battat Magnabild Magnetic Building Systems,10207,Magnet Ingestion,China,2008-01-23
08221,108221,Battat,Toy Play Sets/Activity Sets,Battat Magnabild Magnetic Building Toys or Sets,10322,Magnet Ingestion,China,2008-03-13
03110,103110,Battat,Toy Musical Instruments,Battat Parents Bee Bop Band drum sets,6793,Choking,,2003-04-17
08220,108220,Battat,Toy Play Sets/Activity Sets,Battat Play Wonder Toy Sundae Sets,10319,Choking,China,2008-03-13
90059,90059,Battat,Toy Play Sets/Activity Sets,Kawada infant/toddler Activity Centers,4940,Choking,,1990-03-28
07178,107178,Battat,Toy Telephones,Parents Magazine Record-A-Voice Toy Cell Phones,9431,Choking,China,2007-05-03
01171,101171,Battat,Cushions,Parent's PLAY + LEARN Parents Magazine Soft Landing Beanbag cushions,1126,Suffocation,,2001-06-13
09249,109249,BattEQ,,,11828,,,
05204,105204,Battery-Biz,,,8147,,Korea,
09707,109025,Battery-Biz,Adapter/Power Supply/Charger/Battery,Battery-Biz Duracell 130W Combo Universal Power Adapters,11091,Burn - Not Fire-Related,China,2008-10-28
94055,94055,Baum Imports,,Dynamic Super Jumbo Crayons,4997,,,
10080,110080,Bay Trading ,,,12399,,,
09763,109295,Bay West & Hillyard,,,12020,,,
97073,97073,Bayco Products,Lights & Accessories,SmartLite fluorescent work lights,3699,Electrocution/Electric Shock,,1997-02-27
10144,110144,Baycreek,Clothing (Children),Baycreek Attitude Gold Hooded Sweatshirts,12613,Strangulation,China,2010-02-18
08323,108323,Bayside Furnishings,Beds/Cots,Bayside Furnishings LaJolla Boat Bed and Pirates of the Caribbean Twin Trundle Beds,10731,Entrapment,China,2008-07-03
92128,92128,Bazaar,,,2672,,,
95094,95094,Bazaar,Toy Miscellaneous,,4820,,,
95094,95094,Bazaar,Toy Animals Stuffed/Not Stuffed,Bazaar vinyl squeeze toys,2346,Choking,,1995-03-22
01064,101064,BBC International,Clothing (Children),Crayola toddler boots,1077,,,
04071,104071,BBK Enterprises,Hunting Accessories,BBK Tree Climbers,7322,Fall,China,2004-01-27
97046,97046,BCBG,,,4436,,,
02554,102232,BCI Burke,Playground Items,BCI Burke Buckle Bridges sold with Series 2000 modular playgrounds,6476,Collapse,,2002-08-20
07579,107307,BCI Burke,Swing Sets,BCI Burke Single Post Swing Sets,9753,Fall,United States,2007-09-25
95059,95059,BCI Burke,,Blue Valley animal swings,5518,,,
09248,109248,Beach Village,,,11821,,,
88051,88051,Beachcombers International,Toy Animals Stuffed/Not Stuffed,Lively Squeaking Snake plastic cobra snakes,5618,,,
09248,109248,Beachwear Outlet,,,11819,,,
95027,95027,Beacon Electric,,Gilbert NOMA International seasonal light sets,5533,,,
81026,81026,Beacon Enterprises,Bicycles & Accessories,Scandia dual-action cycler,2137,Fall,,1981-10-13
07017,107017,Beacon Products,Lights & Accessories,Beacon Pendant-Style Outdoor Lighting Fixtures,9008,Collapse,United States,2006-10-25
08324,108324,Bead Bazaar USA,Costume/Children's Jewelry,"Bead Bazaar USA ""It's a Girl Thing"" Bracelets, Necklaces, Phone Charms",10734,Lead,China,2008-07-03
00081,100081,Bead Coaster,Toy Miscellaneous,,5372,,,
09281,109281,Bealls,,,11946,,,
10018,110018,Bealls,,,12197,,,
94117,94117,Bealls Outlet,,,5286,,,
08234,108234,Bealls Outlet,,,10377,,,
73017,73017,Bear,,Bear Brand Spray Trim Adhesive aerosol spray adhesives,427,Poisoning,,1973-08-28
03039,103039,Bear Archery,Sports Equipment & Accessories,Bear Archery Warrior and Buckmaster/Warrior bows,6595,Laceration,,2002-11-19
06213,106213,Bear Archery,Hunting Accessories,Fred Bear Archery F-Series and Outfitter Compound Crossbows,8808,Explosion/Projectiles,United States,2006-07-14
02164,102164,Beatrix Potter,,Beatrix Potter Designer 22 infant car seats/carriers,4355,,,
09238,109238,Beautiful Beginnings,,,11784,,,
09239,109239,Beautiful Beginnings,,,11791,,,
09270,109270,Beautiful Kids,,,11908,,,
09167,109167,Beaverton Honda Yamaha,,,11537,,,
91080,91080,BECO,,,3620,Explosion/Projectiles,,1991-05-30
08253,108253,Beco Baby Carrier,Infant Carriers/Car Seats/Backpacks,"Beco Baby Carrier Butterfly Mia, Pony Express, Carnival, Addison, Ethan Infant Carriers",10447,Fall,United States,2008-04-22
01111,101111,"Bed, Bath & Beyond",,,1116,,,
02051,102051,"Bed, Bath & Beyond",,,4058,,,
02166,102166,"Bed, Bath & Beyond",,,4360,,,
93060,93060,"Bed, Bath & Beyond",,,5261,,,
02216,102216,"Bed, Bath & Beyond",,,6346,,,
03094,103094,"Bed, Bath & Beyond",,,6743,,,
05503,105001,"Bed, Bath & Beyond",,,7710,,,
05019,105019,"Bed, Bath & Beyond",,,7729,,,
05240,105240,"Bed, Bath & Beyond",,,8186,,,
07086,107086,"Bed, Bath & Beyond",,,9177,,,
08381,108381,"Bed, Bath & Beyond",,,10909,,,
08396,108396,"Bed, Bath & Beyond",,,10938,,,
09092,109092,"Bed, Bath & Beyond",,,11256,,,
09252,109252,"Bed, Bath & Beyond",,,11840,,,
10025,110025,"Bed, Bath & Beyond",,,12212,,,
09261,109261,"Bed, Bath & Beyond",,"Aqua-Leisure Sunshade Wave Rider Float, Child's Wave Rider Inflatable Baby Floats",11868,,,
97032,97032,Bedder Bunk,,Oakland Wood Shop wooden bunk beds,3283,,,
99085,99085,Bed-N-Loft,Bunk Beds,,793,,,
00061,100061,Bedroom Superstores,,Thornwood Furniture toy chests,1806,Entrapment,,2000-02-03
91052,91052,Bee International,Toy Animals Stuffed/Not Stuffed,Ma and Baby Bunny toys,4915,Choking,,1991-03-28
95013,95013,Beekman Partners,,Pilip M. Bell tubular metal bunk beds,3329,,,
97112,97112,Beiters,,,2873,,,
93060,93060,Belk,,,5256,,,
03152,103152,Belk,,,6830,,United States,
05082,105082,Belk,,,7893,,,
10024,110024,Belkin,Surge Protectors,Belkin International SurgeMaster Surge Protectors,12205,Electrocution/Electric Shock,China,2009-10-27
05582,105205,Belkin,GPS Systems,Belkin Li-Polymer battery packs sold with Bluetooth GPS Navigation Systems,8137,Fire & Fire-Related Burn,China,2005-06-21
04573,104198,Belkin,Adapter/Power Supply/Charger/Battery,Belkin OmniGuard Rackmount Uninterruptible Power Supply (UPS),7621,Electrocution/Electric Shock,China,2004-08-17
05566,105162,Bell & Gossett,,,8056,,,
06244,106244,Bell & Gossett,,Bell & Gossett Pumps for Fire Suppression Systems,8911,,,
07018,107018,Bell & Gossett,,Bell & Gossett Pumps for Fire Suppression Systems,9012,,,
88069,88069,Bell & Howell,Audio/Video Systems & Accessories,Bell & Howell Showmate 2 Video Presentation Systems,5597,Electrocution/Electric Shock,,1988-08-17
08112,108112,Bell Racing,Collectibles,"Bell Racing Collectible Terry Borcheller, Kurt Busch, Vitor Meira Mini Racing Helmets",10035,Lead,China,2007-12-05
99104,99104,Bell Sports,Helmets & Helmet Accessories,Bell Qualifier bicycle helmets,4644,,,
07528,107100,Bella Cucina,,,9216,,,
98138,98138,Bemis Manufacturing,,,3532,,,
95146,95146,Bemis Manufacturing,Humidifiers,,3652,,,
95146,95146,Bemis Waterwick,,Bemis Waterwick whole house humidifiers,1999,Electrocution/Electric Shock,,1995-07-18
96032,96032,Ben Franklin,,,2928,,,
01194,101194,Ben Franklin,,,3775,,,
96032,96032,Ben Franklin,,Imperial Mighty Machines Motorized Big Wheel Sparklers toy vehicles,2930,,,
02052,102052,Ben Franklin Crafts,,,4064,,,
00001,100001,Benckiser Consumer Products,,Scrub Free Daily Shower Spray,4425,Poisoning,,1999-10-07
08390,108390,Benjamin International,Costume/Children's Jewelry,Benjamin International Fairy Dust Pendants and Candle Charms,10894,Lead,Hong Kong,2008-09-03
08187,108187,Benjamin International,Candles & Candle Holders,"Benjamin Zodiac, Runes, Ritual, Goddess, Chinese Zodiac, Celtic Harmonies Pendants/Candle Charms",10247,Lead,Korea,2008-02-07
92140,92140,Benjamin-Sheridan,Air Rifles/Air Guns/BB Guns & Accessories,Benjamin-Sheridan Corporation's CO2 and pneumatic airguns,4704,Laceration,,1992-09-23
99159,99159,Bentley Lingerie,,,3434,,,
97105,97105,Benton-Kirby,,,2861,,,
87008,87008,Bentwood,,Small Wonders full-size baby cribs,5681,,,
86067,86067,Berchet,Rattles,Berchet Bell Rattle baby rattles,5963,,,
02079,102079,Bergdorf Goodman,,,4096,,,
97085,97085,Bergdorf Goodman,,,5073,,,
01164,101164,Bergner's,,,1234,,,
08517,108083,Bergner's,,,9967,,,
08103,108103,Bergner's,,,10009,,,
09079,109079,Bergner's,,,11217,,,
09726,109138,Berkeley Designs,,,11412,,,
07547,107180,Berkline Benchcraft,Chairs & Stools,Berkline Heated Massage Recliners,9456,Burn - Not Fire-Related,China,2007-05-11
96069,96069,Berko,Electric Heaters,Berko baseboard heaters,5446,,,
07298,107298,Berko,Electric Heaters,"Berko Electric TS, TS-1, TS-1A Toe-Space Electric Heaters",9714,Fire & Fire-Related Burn,,
95162,95162,Berkshire Fashions,,,5155,,,
94054,94054,Berkshire Furniture,,Fashion Bed Group Slumberama tubular metal frame children's bunk beds,491,,,
85019,85019,Bernard Chaus,Clothing (Adults),Ladies active sweatshirts,895,Fire & Fire-Related Burn,,1985-04-18
94053,94053,Bernards,,Bernards high gloss tubular metal frame children's bunk beds,2386,Collapse,,1994-04-06
94057,94057,Bernards,,S&A Imports high gloss tubular metal frame children's bunk beds,5002,,,
05135,105135,Bernat,,,164,Fire & Fire-Related Burn,,2005-03-11
78056,78056,Bernina,Sewing Machines,Bernina Sewing Machines,7079,,,
77001,77001,Bernzomatic,Fire Extinguishers,Bernzomatic Foam Fire Extinguishers,855,Explosion/Projectiles,,1997-01-03
95002,95002,Bernzomatic,Kerosene/Propane/Wood Heaters,Bernzomatic Portable Gas Radiant Heater propane gas heaters,3654,,,
87053,87053,BernzOmatic,Kerosene/Propane/Wood Heaters,BernzOmatic portable propane gas radiant heaters,5743,Poisoning,,1987-09-15
04222,104222,BERTBY,,,7695,,,
93015,93015,Berthoud,Sprayers,Berthoud pump-type polypropylene sprayers,2409,,,
95035,95035,Berton,,,4833,,,
09251,109251,Besea,,,11832,,,
02534,102153,Best Access Systems,,Best Lock IDH Max electronic door locks,4318,,,
96153,96153,Best Buy,,,2261,,,
96105,96105,Best Buy,,,2801,,,
99001,99001,Best Buy,,,3056,,,
03088,103088,Best Buy,,,6726,,,
03108,103108,Best Buy,,,6788,,,
03176,103176,Best Buy,,,6881,,,
05187,105187,Best Buy,DVD/CD/MP3 Players,,8116,Fire & Fire-Related Burn,China,2005-06-08
07133,107133,Best Buy,,,9300,,,
08408,108408,Best Buy,,,10994,,,
09105,109105,Best Buy,,,11313,,,
09303,109303,Best Buy,,,12038,,,
09183,109183,Best Buy,"Televisions, Mounts, Guards & Antennas",Best Buy Insignia 26-inch flat-panel LCD IS-LCDTV26 televisions,11628,Fire & Fire-Related Burn,China,2009-04-02
07110,107110,Best Buy,Remote Controls,Best Buy Remote Control Insignia 100W DVD Compact Shelf System,9248,Burn - Not Fire-Related,China,2007-02-22
09182,109182,Best Buy,Adapter/Power Supply/Charger/Battery,Best Buy Rocketfish RF-INV80 Universal AC/DC/USB Portable Power Source,11626,Fire & Fire-Related Burn,China,2009-04-02
02115,102115,Best Buy,Power Cords,Hewlett-Packard Longwell Inkjet Printer Power Cord Sets,4172,Electrocution/Electric Shock,,2002-03-07
97024,97024,Best International,Hair Dryers,,2313,,,
02534,102153,Best Lock,Door Locks,Best Lock BASIS Electronic Door Locks,4317,Fire & Fire-Related Burn,,2002-05-06
82031,82031,Best Products,,,1263,,,
08292,108292,Best Value,,,10624,,,
94118,94118,Best Wear,Clothing (Children),Best Wear girls romper garment sets,3331,Choking,,1994-08-16
07009,107009,Betesh Group,Toy Animals Stuffed/Not Stuffed,Betesh Baby Cookie Monster Plush Toys,8991,Choking,China,2006-10-18
01021,101021,Betesh Group,Toy Infants/Cribs/Strollers,John Lennon Musical Mobiles (cribs),1618,Fall,,2000-10-27
03086,103086,Betesh Group,Toy Animals Stuffed/Not Stuffed,Smart Scents Busy Bug Plush toys,6718,Choking,China,2003-02-27
94099,94099,Bethany Sales,,Bethany Bombard 7-Shots multiple-tube fireworks,5044,,,
95167,95167,Better Valu,,Better Valu Clear Ammonia cleaning solution,2001,Poisoning,,1995-09-18
09705,109006,BettyMills,,,11034,,,
09745,109236,BettyMills,,,11775,,,
